,star_rating,title,year,content_rating,genre,duration,gross,rotten_rating
0,9.3,The Shawshank Redemption,1994,R,Drama            ,142,1963330,91%
1,9.2,The Godfather,1972,R,Crime,175,28341469,98%
2,9.0,The Dark Knight,2008,PG-13,Action,152,1344258,94%
3,9.0,The Godfather: Part II,1974,R,Crime,202,134966411,97%
4,8.9,Pulp Fiction,1994,R,Crime,154,1935047,94%
5,8.9,Schindler's List,1993,R,Biography,195,534858444,97%
6,8.9,The Lord of the Rings: The Return of the King,2003,PG-13,Adventure,201,930134,93%
7,8.9,"The Good, the Bad and the Ugly",1966,R,Western            ,178,57300000,97%
8,8.9,12 Angry Men,1957,Approved,Crime,96,1535170,100%
9,8.8,Avengers: Infinity War,2018,PG-13,Action,149,107928762,83%
10,8.8,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Adventure,178,1012829,91%
11,8.8,Inception,2010,PG-13,Action,148,96067179,86%
12,8.8,Forrest Gump,1994,PG-13,Drama,142,1401164,72%
13,8.8,Fight Club,1999,R,Drama            ,139,377845905,79%
14,8.8,Star Wars: Episode V - The Empire Strikes Back,1980,PG,Action,124,582893,95%
15,8.7,The Matrix,1999,R,Action,136,6100000,87%
16,8.7,Goodfellas,1990,R,Biography,146,546853,96%
17,8.7,The Lord of the Rings: The Two Towers,2002,PG-13,Adventure,179,379601,95%
18,8.7,One Flew Over the Cuckoo's Nest,1975,R,Drama            ,133,665845272,94%
19,8.7,Seven Samurai,1954,Not Rated,Adventure,207,1418566,100%
20,8.6,Interstellar,2014,PG-13,Adventure,169,315544750,71%
21,8.6,The Silence of the Lambs,1991,R,Crime,118,1718980,95%
22,8.6,Lon: The Professional,1994,R,Crime,110,292576195,
23,8.6,Se7en,1995,R,Crime,127,1491637,80%
24,8.6,Star Wars: Episode IV - A New Hope,1977,PG,Action,121,330252182,93%
25,8.6,Saving Private Ryan,1998,R,Drama,169,1573724,92%
26,8.6,Spirited Away,2001,PG,Animation,125,37030102,97%
27,8.6,The Usual Suspects,1995,R,Crime,106,988556,89%
28,8.6,City of God,2002,R,Crime,130,290475067,91%
29,8.6,Life Is Beautiful,1997,PG-13,Comedy,116,1411085,80%
30,8.6,It's a Wonderful Life,1946,PG,Drama,130,171479930,94%
31,8.6,City Lights,1931,G,Comedy,87,847247,98%
